country,city,"insurance, руб.","ticket_price, руб.",luggage_cost,flight_time_minutes,rest_rating,rest_price,hotel_rating,lowest_hotel_price,highest_hotel_price,lat,lon
Франция,Париж,37265,39184.6,13041.333333333336,1632.0,4.566498316498317,2884.3606356968216,4.14,17267.45,28695.89,48.85,2.35
Франция,Марсель,37130,53154.7,10157.0,2297.0,4.306587837837838,2265.3177570093458,3.88,7438.31,13924.91,43.297, 5.38107
Черногория ,Будва,3001,40681.1,7894.1,2116.5,4.0703125,2131.9855769230767,4.3,4169.07,6378.86,42.29115, 18.8403
Черногория ,Улцинь,1650,38313.6,6404.222222222223,1273.9,4.240384615384615,2157.9473684210525,4.24,6734.3,12723.72,41.9283, 19.2064
Чехия ,Прага,6717,41636.2,8765.0,1599.5,4.40536013400335,2333.938805970149,4.23,13719.47,24869.02,50.09,14.42
Чехия ,Карловы Вары,6293,42560.0,6919.222222222223,1746.5,4.1454545454545455,6129.791666666667,4.31,8233.02,13686.24,50.2327, 12.8712
Швеция,Стокгольм,28909,33770.0,7875.9,2178.0,4.176222596964587,3817.762745098039,3.99,6660.44,10413.52,59.33,18.06
Швеция,Кируна,27102,57499.5,8107.166666666668,2863.0,3.636363636363636,1297.75,4.32,8117.8,21610.88,67.85, 20.217
Шри-Ланка,Канди,1086,43757.4,4562.857142857143,2236.2,3.9397590361445785,2815.28125,4.36,12426.28,19630.55,7.2955, 80.6356
Шри-Ланка,Велигаме,1168,44227.4,4562.857142857143,2233.5,4.346666666666667,1971.793269230769,4.47,9562.85,15480.98,5.9667, 80.4167
Южная Корея ,Сеул,6293,54102.7,8615.333333333334,2009.0,4.327702702702703,211069.47569444444,4.11,4272.96,6394.93,37.57,126.98
Южная Корея ,Пусан,7896,53365.8,7254.5,2365.5,4.29424778761062,33851.8203125,4.13,10152.7,17656.87,35.1028, 129.04
Япония,Токио,39076,91712.2,9410.777777777776,2238.5,4.335581787521079,8004.076388888889,4.03,5030.11,7928.04,35.69,139.69
Япония,Нара,38937,113480.4,7950.25,2316.0,4.116104868913857,4705.446428571428,4.13,8027.8,12532.95,34.6851, 135.805
