hotel,city,url,price,rating,stars,price_range,lowest_price,highest_price
Ascella Bangkok Hotel,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d26345301-Reviews-Ascella_Bangkok_Hotel-Bangkok.html,Как добраться,"5,0",,3 100 руб - 4 833 руб,3 100 руб,4 833 руб
Red Door Heritage Hotel,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d19977324-Reviews-Red_Door_Heritage_Hotel-Bangkok.html,Как добраться,"5,0",,2 371 руб - 3 465 руб,2 371 руб,3 465 руб
Airport Mini Hostel at Don Muang Airport,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d21336829-Reviews-Airport_Mini_Hostel_at_Don_Muang_Airport-Bangkok.html,Как добраться,"5,0","3,0",2 006 руб - 2 553 руб,2 006 руб,2 553 руб
Bangpho Story,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d23195219-Reviews-Bangpho_Story-Bangkok.html,Как добраться,"5,0",,2 097 руб - 3 283 руб,2 097 руб,3 283 руб
Нана Хизо Отель,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d1657790-Reviews-Nana_Hiso_Hotel-Bangkok.html,Как добраться,"4,0","3,0",3 283 руб - 4 195 руб,3 283 руб,4 195 руб
Papermoon Guesthouse,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d16725732-Reviews-Papermoon_Guesthouse-Bangkok.html,Как добраться,"4,5","3,0",2 006 руб - 2 097 руб,2 006 руб,2 097 руб
Studio Residence Bangkok Sukhumvit 71,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d13084654-Reviews-Studio_Residence_Bangkok_Sukhumvit_71-Bangkok.html,Как добраться,"3,5","3,0",1 368 руб - 2 006 руб,1 368 руб,2 006 руб
The 92 Residence,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d15619131-Reviews-The_92_Residence-Bangkok.html,Как добраться,"5,0","3,0",2 371 руб - 2 736 руб,2 371 руб,2 736 руб
Swan inn2 Guest house,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d21273908-Reviews-Swan_inn2_Guest_house-Bangkok.html,Как добраться,"4,0",,1 641 руб - 2 006 руб,1 641 руб,2 006 руб
Checkin Hostel @DonMuang Airport,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d13480501-Reviews-Checkin_Hostel_DonMuang_Airport-Bangkok.html,Как добраться,"5,0",,1 094 руб - 1 459 руб,1 094 руб,1 459 руб
